,Player,Dealer,Ace,Hit Flag,Stand,Hit,Double Down,Surrender,Best Action Index,Best Action
0,4,1,0,0,-72.26129677690173,-36.93220055729287,-51.92428377308192,-38.16121108929141,1,H
1,4.0,1.0,0.0,1.0,,,,,,
2,4.0,1.0,1.0,0.0,,,,,,
3,4.0,1.0,1.0,1.0,,,,,,
4,4,2,0,0,-35.39295145586536,-23.785594145893626,-56.01285482118617,-37.629384323989754,1,H
5,4.0,2.0,0.0,1.0,,,,,,
6,4.0,2.0,1.0,0.0,,,,,,
7,4.0,2.0,1.0,1.0,,,,,,
8,4,3,0,0,-32.36712505590783,-25.294569964088044,-35.3845974763904,-41.01994404133783,1,H
9,4.0,3.0,0.0,1.0,,,,,,
10,4.0,3.0,1.0,0.0,,,,,,
11,4.0,3.0,1.0,1.0,,,,,,
12,4,4,0,0,-25.94934161493233,-14.574412166346832,-32.045913218058416,-32.36627957312846,1,H
13,4.0,4.0,0.0,1.0,,,,,,
14,4.0,4.0,1.0,0.0,,,,,,
15,4.0,4.0,1.0,1.0,,,,,,
16,4,5,0,0,-37.095401177013,-15.604415924544886,-40.569185030620005,-32.059918351851934,1,H
17,4.0,5.0,0.0,1.0,,,,,,
18,4.0,5.0,1.0,0.0,,,,,,
19,4.0,5.0,1.0,1.0,,,,,,
20,4,6,0,0,-14.438577898353703,-22.61146973269911,-28.94673867989638,-31.380481232526055,0,S
21,4.0,6.0,0.0,1.0,,,,,,
22,4.0,6.0,1.0,0.0,,,,,,
23,4.0,6.0,1.0,1.0,,,,,,
24,4,7,0,0,-31.757333778543916,-16.907449474518458,-47.184856566379665,-41.03861358358883,1,H
25,4.0,7.0,0.0,1.0,,,,,,
26,4.0,7.0,1.0,0.0,,,,,,
27,4.0,7.0,1.0,1.0,,,,,,
28,4,8,0,0,-28.90114103820791,-22.298269044821332,-61.35452262354434,-24.606552022117967,1,H
29,4.0,8.0,0.0,1.0,,,,,,
30,4.0,8.0,1.0,0.0,,,,,,
31,4.0,8.0,1.0,1.0,,,,,,
32,4,9,0,0,-39.60864419306658,-30.03113781175184,-63.549856386714055,-34.583728184794396,1,H
33,4.0,9.0,0.0,1.0,,,,,,
34,4.0,9.0,1.0,0.0,,,,,,
35,4.0,9.0,1.0,1.0,,,,,,
36,4,10,0,0,-60.05548869028133,-52.81947466110397,-113.42738318574119,-54.8285616410343,1,H
37,4.0,10.0,0.0,1.0,,,,,,
38,4.0,10.0,1.0,0.0,,,,,,
39,4.0,10.0,1.0,1.0,,,,,,
40,5,1,0,0,-70.86980922683412,-63.36627252188737,-73.12916822556805,-66.04292098203086,1,H
41,5.0,1.0,0.0,1.0,,,,,,
42,5.0,1.0,1.0,0.0,,,,,,
43,5.0,1.0,1.0,1.0,,,,,,
44,5,2,0,0,-29.571212010677215,-29.703102561367032,-39.445378974890616,-37.801456354641395,0,S
45,5.0,2.0,0.0,1.0,,,,,,
46,5.0,2.0,1.0,0.0,,,,,,
47,5.0,2.0,1.0,1.0,,,,,,
48,5,3,0,0,-28.59353368370122,-22.897067482351193,-43.89409922283133,-38.1805808475239,1,H
49,5.0,3.0,0.0,1.0,,,,,,
50,5.0,3.0,1.0,0.0,,,,,,
51,5.0,3.0,1.0,1.0,,,,,,
52,5,4,0,0,-34.142160454973144,-30.298032873077542,-44.15834230231965,-35.88778663101171,1,H
53,5.0,4.0,0.0,1.0,,,,,,
54,5.0,4.0,1.0,0.0,,,,,,
55,5.0,4.0,1.0,1.0,,,,,,
56,5,5,0,0,-29.960269499126426,-26.47761895621787,-53.173798961965744,-36.55237556439976,1,H
57,5.0,5.0,0.0,1.0,,,,,,
58,5.0,5.0,1.0,0.0,,,,,,
59,5.0,5.0,1.0,1.0,,,,,,
60,5,6,0,0,-38.936398193260544,-30.5886805923935,-38.79971889887739,-42.14488107927426,1,H
61,5.0,6.0,0.0,1.0,,,,,,
62,5.0,6.0,1.0,0.0,,,,,,
63,5.0,6.0,1.0,1.0,,,,,,
64,5,7,0,0,-37.61208025580538,-25.991323538553456,-72.45766798217572,-40.405303100704366,1,H
65,5.0,7.0,0.0,1.0,,,,,,
66,5.0,7.0,1.0,0.0,,,,,,
67,5.0,7.0,1.0,1.0,,,,,,
68,5,8,0,0,-58.6786414241208,-41.37734215136305,-46.15852082407146,-48.47260618912254,1,H
69,5.0,8.0,0.0,1.0,,,,,,
70,5.0,8.0,1.0,0.0,,,,,,
71,5.0,8.0,1.0,1.0,,,,,,
72,5,9,0,0,-58.053958768862685,-42.06166562353426,-62.79355310320366,-55.932575930387436,1,H
73,5.0,9.0,0.0,1.0,,,,,,
74,5.0,9.0,1.0,0.0,,,,,,
75,5.0,9.0,1.0,1.0,,,,,,
76,5,10,0,0,-78.28187965914088,-62.51161099514037,-130.26954545643423,-78.84336603592384,1,H
77,5.0,10.0,0.0,1.0,,,,,,
78,5.0,10.0,1.0,0.0,,,,,,
79,5.0,10.0,1.0,1.0,,,,,,
80,6,1,0,0,-74.92110807616922,-54.78101983521334,-78.60552785174752,-71.95938897813312,1,H
81,6,1,0,1,-8.747903995289692,0.0,0.0,0.0,1,H
82,6.0,1.0,1.0,0.0,,,,,,
83,6.0,1.0,1.0,1.0,,,,,,
84,6,2,0,0,-66.43590215208104,-42.55663770575241,-50.938371897000465,-50.9609875030964,1,H
85,6,2,0,1,-7.844205557851749,0.8910288934523248,-100.0,0.0,1,H
86,6.0,2.0,1.0,0.0,,,,,,
87,6.0,2.0,1.0,1.0,,,,,,
88,6,3,0,0,-51.173486349550494,-42.07056940436363,-54.94104369859855,-56.7155142891515,1,H
89,6,3,0,1,-12.797606836318009,-5.102496796935723,-100.0,-100.0,1,H
90,6.0,3.0,1.0,0.0,,,,,,
91,6.0,3.0,1.0,1.0,,,,,,
92,6,4,0,0,-48.264070869996694,-35.223701700966146,-43.03921489166558,-39.53368471118425,1,H
93,6,4,0,1,-13.887854767215622,0.0,0.0,0.0,1,H
94,6.0,4.0,1.0,0.0,,,,,,
