,State,Action
0,"(4, 1, 0, 0)",1
1,"(4, 1, 0, 1)",1
2,"(4, 1, 1, 0)",1
3,"(4, 1, 1, 1)",1
4,"(4, 2, 0, 0)",1
5,"(4, 2, 0, 1)",1
6,"(4, 2, 1, 0)",1
7,"(4, 2, 1, 1)",1
8,"(4, 3, 0, 0)",1
9,"(4, 3, 0, 1)",1
10,"(4, 3, 1, 0)",1
11,"(4, 3, 1, 1)",1
12,"(4, 4, 0, 0)",1
13,"(4, 4, 0, 1)",1
14,"(4, 4, 1, 0)",1
15,"(4, 4, 1, 1)",1
16,"(4, 5, 0, 0)",1
17,"(4, 5, 0, 1)",1
18,"(4, 5, 1, 0)",1
19,"(4, 5, 1, 1)",1
20,"(4, 6, 0, 0)",1
21,"(4, 6, 0, 1)",1
22,"(4, 6, 1, 0)",1
23,"(4, 6, 1, 1)",1
24,"(4, 7, 0, 0)",1
25,"(4, 7, 0, 1)",1
26,"(4, 7, 1, 0)",1
27,"(4, 7, 1, 1)",1
28,"(4, 8, 0, 0)",1
29,"(4, 8, 0, 1)",1
30,"(4, 8, 1, 0)",1
31,"(4, 8, 1, 1)",1
32,"(4, 9, 0, 0)",1
33,"(4, 9, 0, 1)",1
34,"(4, 9, 1, 0)",1
35,"(4, 9, 1, 1)",1
36,"(4, 10, 0, 0)",1
37,"(4, 10, 0, 1)",1
38,"(4, 10, 1, 0)",1
39,"(4, 10, 1, 1)",1
40,"(5, 1, 0, 0)",1
41,"(5, 1, 0, 1)",1
42,"(5, 1, 1, 0)",1
43,"(5, 1, 1, 1)",1
44,"(5, 2, 0, 0)",1
45,"(5, 2, 0, 1)",1
46,"(5, 2, 1, 0)",1
47,"(5, 2, 1, 1)",1
48,"(5, 3, 0, 0)",1
49,"(5, 3, 0, 1)",1
50,"(5, 3, 1, 0)",1
51,"(5, 3, 1, 1)",1
52,"(5, 4, 0, 0)",1
53,"(5, 4, 0, 1)",1
54,"(5, 4, 1, 0)",1
55,"(5, 4, 1, 1)",1
56,"(5, 5, 0, 0)",1
57,"(5, 5, 0, 1)",1
58,"(5, 5, 1, 0)",1
59,"(5, 5, 1, 1)",1
60,"(5, 6, 0, 0)",1
61,"(5, 6, 0, 1)",1
62,"(5, 6, 1, 0)",1
63,"(5, 6, 1, 1)",1
64,"(5, 7, 0, 0)",1
65,"(5, 7, 0, 1)",1
66,"(5, 7, 1, 0)",1
67,"(5, 7, 1, 1)",1
68,"(5, 8, 0, 0)",1
69,"(5, 8, 0, 1)",1
70,"(5, 8, 1, 0)",1
71,"(5, 8, 1, 1)",1
72,"(5, 9, 0, 0)",1
73,"(5, 9, 0, 1)",1
74,"(5, 9, 1, 0)",1
75,"(5, 9, 1, 1)",1
76,"(5, 10, 0, 0)",1
77,"(5, 10, 0, 1)",1
78,"(5, 10, 1, 0)",1
79,"(5, 10, 1, 1)",1
80,"(6, 1, 0, 0)",1
81,"(6, 1, 0, 1)",1
82,"(6, 1, 1, 0)",1
83,"(6, 1, 1, 1)",1
84,"(6, 2, 0, 0)",1
85,"(6, 2, 0, 1)",1
86,"(6, 2, 1, 0)",1
87,"(6, 2, 1, 1)",1
88,"(6, 3, 0, 0)",1
89,"(6, 3, 0, 1)",1
90,"(6, 3, 1, 0)",1
91,"(6, 3, 1, 1)",1
92,"(6, 4, 0, 0)",1
93,"(6, 4, 0, 1)",1
94,"(6, 4, 1, 0)",1
95,"(6, 4, 1, 1)",1
96,"(6, 5, 0, 0)",1
97,"(6, 5, 0, 1)",1
98,"(6, 5, 1, 0)",1
99,"(6, 5, 1, 1)",1
100,"(6, 6, 0, 0)",1
101,"(6, 6, 0, 1)",1
102,"(6, 6, 1, 0)",1
103,"(6, 6, 1, 1)",1
104,"(6, 7, 0, 0)",1
105,"(6, 7, 0, 1)",1
106,"(6, 7, 1, 0)",1
107,"(6, 7, 1, 1)",1
108,"(6, 8, 0, 0)",1
109,"(6, 8, 0, 1)",1
110,"(6, 8, 1, 0)",1
111,"(6, 8, 1, 1)",1
112,"(6, 9, 0, 0)",1
113,"(6, 9, 0, 1)",1
114,"(6, 9, 1, 0)",1
115,"(6, 9, 1, 1)",1
116,"(6, 10, 0, 0)",1
117,"(6, 10, 0, 1)",1
118,"(6, 10, 1, 0)",1
119,"(6, 10, 1, 1)",1
120,"(7, 1, 0, 0)",1
121,"(7, 1, 0, 1)",1
122,"(7, 1, 1, 0)",1
123,"(7, 1, 1, 1)",1
124,"(7, 2, 0, 0)",1
125,"(7, 2, 0, 1)",1
126,"(7, 2, 1, 0)",1
127,"(7, 2, 1, 1)",1
128,"(7, 3, 0, 0)",1
129,"(7, 3, 0, 1)",1
130,"(7, 3, 1, 0)",1
131,"(7, 3, 1, 1)",1
132,"(7, 4, 0, 0)",1
133,"(7, 4, 0, 1)",1
134,"(7, 4, 1, 0)",1
135,"(7, 4, 1, 1)",1
136,"(7, 5, 0, 0)",1
137,"(7, 5, 0, 1)",1
138,"(7, 5, 1, 0)",1
139,"(7, 5, 1, 1)",1
140,"(7, 6, 0, 0)",1
141,"(7, 6, 0, 1)",1
142,"(7, 6, 1, 0)",1
143,"(7, 6, 1, 1)",1
144,"(7, 7, 0, 0)",1
145,"(7, 7, 0, 1)",1
146,"(7, 7, 1, 0)",1
147,"(7, 7, 1, 1)",1
148,"(7, 8, 0, 0)",1
149,"(7, 8, 0, 1)",1
150,"(7, 8, 1, 0)",1
151,"(7, 8, 1, 1)",1
152,"(7, 9, 0, 0)",1
153,"(7, 9, 0, 1)",1
154,"(7, 9, 1, 0)",1
155,"(7, 9, 1, 1)",1
156,"(7, 10, 0, 0)",1
157,"(7, 10, 0, 1)",1
158,"(7, 10, 1, 0)",1
159,"(7, 10, 1, 1)",1
160,"(8, 1, 0, 0)",1
161,"(8, 1, 0, 1)",1
162,"(8, 1, 1, 0)",1
163,"(8, 1, 1, 1)",1
164,"(8, 2, 0, 0)",1
165,"(8, 2, 0, 1)",1
166,"(8, 2, 1, 0)",1
167,"(8, 2, 1, 1)",1
168,"(8, 3, 0, 0)",1
169,"(8, 3, 0, 1)",1
170,"(8, 3, 1, 0)",1
171,"(8, 3, 1, 1)",1
172,"(8, 4, 0, 0)",1
173,"(8, 4, 0, 1)",1
174,"(8, 4, 1, 0)",1
175,"(8, 4, 1, 1)",1
176,"(8, 5, 0, 0)",1
177,"(8, 5, 0, 1)",1
178,"(8, 5, 1, 0)",1
179,"(8, 5, 1, 1)",1
180,"(8, 6, 0, 0)",1
181,"(8, 6, 0, 1)",1
182,"(8, 6, 1, 0)",1
183,"(8, 6, 1, 1)",1
184,"(8, 7, 0, 0)",1
185,"(8, 7, 0, 1)",1
186,"(8, 7, 1, 0)",1
187,"(8, 7, 1, 1)",1
188,"(8, 8, 0, 0)",1
189,"(8, 8, 0, 1)",1
190,"(8, 8, 1, 0)",1
191,"(8, 8, 1, 1)",1
192,"(8, 9, 0, 0)",1
193,"(8, 9, 0, 1)",1
194,"(8, 9, 1, 0)",1
195,"(8, 9, 1, 1)",1
196,"(8, 10, 0, 0)",1
197,"(8, 10, 0, 1)",1
198,"(8, 10, 1, 0)",1
199,"(8, 10, 1, 1)",1
200,"(9, 1, 0, 0)",1
201,"(9, 1, 0, 1)",1
202,"(9, 1, 1, 0)",
203,"(9, 1, 1, 1)",
204,"(9, 2, 0, 0)",1
205,"(9, 2, 0, 1)",1
206,"(9, 2, 1, 0)",
207,"(9, 2, 1, 1)",
208,"(9, 3, 0, 0)",2
209,"(9, 3, 0, 1)",1
210,"(9, 3, 1, 0)",
211,"(9, 3, 1, 1)",
212,"(9, 4, 0, 0)",2
213,"(9, 4, 0, 1)",1
214,"(9, 4, 1, 0)",
215,"(9, 4, 1, 1)",
216,"(9, 5, 0, 0)",2
217,"(9, 5, 0, 1)",1
218,"(9, 5, 1, 0)",
219,"(9, 5, 1, 1)",
220,"(9, 6, 0, 0)",2
221,"(9, 6, 0, 1)",1
222,"(9, 6, 1, 0)",
223,"(9, 6, 1, 1)",
224,"(9, 7, 0, 0)",1
225,"(9, 7, 0, 1)",1
226,"(9, 7, 1, 0)",
227,"(9, 7, 1, 1)",
228,"(9, 8, 0, 0)",1
229,"(9, 8, 0, 1)",1
230,"(9, 8, 1, 0)",
231,"(9, 8, 1, 1)",
232,"(9, 9, 0, 0)",1
233,"(9, 9, 0, 1)",1
234,"(9, 9, 1, 0)",
235,"(9, 9, 1, 1)",
236,"(9, 10, 0, 0)",1
237,"(9, 10, 0, 1)",1
238,"(9, 10, 1, 0)",
239,"(9, 10, 1, 1)",
240,"(10, 1, 0, 0)",1
241,"(10, 1, 0, 1)",1
242,"(10, 1, 1, 0)",
243,"(10, 1, 1, 1)",
244,"(10, 2, 0, 0)",2
245,"(10, 2, 0, 1)",1
246,"(10, 2, 1, 0)",
247,"(10, 2, 1, 1)",
248,"(10, 3, 0, 0)",2
249,"(10, 3, 0, 1)",1
250,"(10, 3, 1, 0)",
251,"(10, 3, 1, 1)",
252,"(10, 4, 0, 0)",2
253,"(10, 4, 0, 1)",1
254,"(10, 4, 1, 0)",
255,"(10, 4, 1, 1)",
256,"(10, 5, 0, 0)",2
257,"(10, 5, 0, 1)",1
258,"(10, 5, 1, 0)",
259,"(10, 5, 1, 1)",
260,"(10, 6, 0, 0)",2
261,"(10, 6, 0, 1)",1
262,"(10, 6, 1, 0)",
263,"(10, 6, 1, 1)",
264,"(10, 7, 0, 0)",1
265,"(10, 7, 0, 1)",1
266,"(10, 7, 1, 0)",
267,"(10, 7, 1, 1)",
268,"(10, 8, 0, 0)",1
269,"(10, 8, 0, 1)",1
270,"(10, 8, 1, 0)",
271,"(10, 8, 1, 1)",
272,"(10, 9, 0, 0)",1
273,"(10, 9, 0, 1)",1
274,"(10, 9, 1, 0)",
275,"(10, 9, 1, 1)",
276,"(10, 10, 0, 0)",1
277,"(10, 10, 0, 1)",1
278,"(10, 10, 1, 0)",
279,"(10, 10, 1, 1)",
280,"(11, 1, 0, 0)",2
281,"(11, 1, 0, 1)",1
282,"(11, 1, 1, 0)",
283,"(11, 1, 1, 1)",
284,"(11, 2, 0, 0)",2
285,"(11, 2, 0, 1)",1
286,"(11, 2, 1, 0)",
287,"(11, 2, 1, 1)",
288,"(11, 3, 0, 0)",2
289,"(11, 3, 0, 1)",1
290,"(11, 3, 1, 0)",
291,"(11, 3, 1, 1)",
292,"(11, 4, 0, 0)",2
293,"(11, 4, 0, 1)",1
294,"(11, 4, 1, 0)",
295,"(11, 4, 1, 1)",
296,"(11, 5, 0, 0)",2
297,"(11, 5, 0, 1)",1
298,"(11, 5, 1, 0)",
299,"(11, 5, 1, 1)",
300,"(11, 6, 0, 0)",2
301,"(11, 6, 0, 1)",1
302,"(11, 6, 1, 0)",
303,"(11, 6, 1, 1)",
304,"(11, 7, 0, 0)",2
305,"(11, 7, 0, 1)",1
306,"(11, 7, 1, 0)",
307,"(11, 7, 1, 1)",
308,"(11, 8, 0, 0)",2
309,"(11, 8, 0, 1)",1
310,"(11, 8, 1, 0)",
311,"(11, 8, 1, 1)",
312,"(11, 9, 0, 0)",2
313,"(11, 9, 0, 1)",1
314,"(11, 9, 1, 0)",
315,"(11, 9, 1, 1)",
316,"(11, 10, 0, 0)",1
317,"(11, 10, 0, 1)",1
318,"(11, 10, 1, 0)",
319,"(11, 10, 1, 1)",
320,"(12, 1, 0, 0)",1
321,"(12, 1, 0, 1)",1
322,"(12, 1, 1, 0)",1
323,"(12, 1, 1, 1)",1
324,"(12, 2, 0, 0)",1
325,"(12, 2, 0, 1)",1
326,"(12, 2, 1, 0)",1
327,"(12, 2, 1, 1)",1
328,"(12, 3, 0, 0)",1
329,"(12, 3, 0, 1)",1
330,"(12, 3, 1, 0)",1
331,"(12, 3, 1, 1)",1
332,"(12, 4, 0, 0)",0
333,"(12, 4, 0, 1)",0
334,"(12, 4, 1, 0)",1
335,"(12, 4, 1, 1)",1
336,"(12, 5, 0, 0)",0
337,"(12, 5, 0, 1)",0
338,"(12, 5, 1, 0)",2
339,"(12, 5, 1, 1)",1
340,"(12, 6, 0, 0)",0
341,"(12, 6, 0, 1)",0
342,"(12, 6, 1, 0)",2
343,"(12, 6, 1, 1)",1
344,"(12, 7, 0, 0)",1
345,"(12, 7, 0, 1)",1
346,"(12, 7, 1, 0)",1
347,"(12, 7, 1, 1)",1
348,"(12, 8, 0, 0)",1
349,"(12, 8, 0, 1)",1
350,"(12, 8, 1, 0)",1
